2023-03-13 22:08:19.582173 [INFO   ] [APP] application started
2023-03-13 22:08:19.582481 [INFO   ] [APP] loading configuration from 'mm-one-order-unstable-position-limits-2.json'
2023-03-13 22:08:19.582774 [INFO   ] [CON] connecting to: 127.0.0.1:12345
2023-03-13 22:08:19.582917 [INFO   ] [CON] connected successfully to: 127.0.0.1:12345
2023-03-13 22:08:19.582930 [INFO   ] [BASE] logging in with teamname='mm-one-order-unstable-position-limits-2' and secret='secret'
2023-03-13 22:08:23.496057 [INFO   ] [AUTO] no current ask, create a new one
2023-03-13 22:08:23.496062 [INFO   ] [AUTO] ASK 1
2023-03-13 22:08:23.496063 [INFO   ] [AUTO] Max ask volume: 100
2023-03-13 22:08:23.496065 [INFO   ] [AUTO] Sending ask: 2 Price:113600 Volume:100
2023-03-13 22:08:23.496086 [INFO   ] [AUTO] BID 1: 0
2023-03-13 22:08:23.496087 [INFO   ] [AUTO] Sending bid: 3 Price:112300 Volume:100
2023-03-13 22:08:23.496430 [INFO   ] [AUTO] Something happened to order: 2
2023-03-13 22:08:23.496433 [INFO   ] [AUTO] Something happened to order: 3
2023-03-13 22:08:23.773127 [INFO   ] [AUTO] BID 3: 113300
2023-03-13 22:08:23.773139 [INFO   ] [AUTO] Sending bid: 4 Price:113200 Volume:100
2023-03-13 22:08:23.774325 [INFO   ] [AUTO] Something happened to order: 3
2023-03-13 22:08:23.774367 [INFO   ] [AUTO] Something happened to order: 4
2023-03-13 22:08:23.970213 [INFO   ] [AUTO] Cancelling order: 2
2023-03-13 22:08:23.970282 [INFO   ] [AUTO] no current ask, create a new one
2023-03-13 22:08:23.970284 [INFO   ] [AUTO] ASK 1
2023-03-13 22:08:23.970284 [INFO   ] [AUTO] Max ask volume: 100
2023-03-13 22:08:23.970286 [INFO   ] [AUTO] Sending ask: 5 Price:113900 Volume:100
2023-03-13 22:08:23.970292 [INFO   ] [AUTO] BID 3: 113300
2023-03-13 22:08:23.970293 [INFO   ] [AUTO] Sending bid: 6 Price:113400 Volume:100
2023-03-13 22:08:23.971664 [INFO   ] [AUTO] Something happened to order: 2
2023-03-13 22:08:23.971688 [INFO   ] [AUTO] Something happened to order: 5
2023-03-13 22:08:23.971692 [INFO   ] [AUTO] Something happened to order: 4
2023-03-13 22:08:23.971712 [INFO   ] [AUTO] Something happened to order: 6
2023-03-13 22:08:24.196367 [INFO   ] [AUTO] Cancelling order: 5
2023-03-13 22:08:24.196431 [INFO   ] [AUTO] no current ask, create a new one
2023-03-13 22:08:24.196433 [INFO   ] [AUTO] ASK 1
2023-03-13 22:08:24.196434 [INFO   ] [AUTO] Max ask volume: 100
2023-03-13 22:08:24.196434 [INFO   ] [AUTO] Sending ask: 7 Price:114000 Volume:100
2023-03-13 22:08:24.196442 [INFO   ] [AUTO] BID 3: 113400
2023-03-13 22:08:24.196443 [INFO   ] [AUTO] Sending bid: 8 Price:113500 Volume:100
2023-03-13 22:08:24.196723 [INFO   ] [AUTO] Something happened to order: 5
2023-03-13 22:08:24.196767 [INFO   ] [AUTO] Something happened to order: 7
2023-03-13 22:08:24.196769 [INFO   ] [AUTO] Something happened to order: 6
2023-03-13 22:08:24.196770 [INFO   ] [AUTO] Something happened to order: 8
2023-03-13 22:08:24.505274 [INFO   ] [AUTO] BID 3: 113500
2023-03-13 22:08:24.505286 [INFO   ] [AUTO] Sending bid: 9 Price:113600 Volume:100
2023-03-13 22:08:24.505886 [INFO   ] [AUTO] Something happened to order: 8
2023-03-13 22:08:24.505921 [INFO   ] [AUTO] Something happened to order: 9
2023-03-13 22:08:24.774739 [INFO   ] [AUTO] Cancelling order: 7
2023-03-13 22:08:24.774807 [INFO   ] [AUTO] no current ask, create a new one
2023-03-13 22:08:24.774809 [INFO   ] [AUTO] ASK 1
2023-03-13 22:08:24.774810 [INFO   ] [AUTO] Max ask volume: 100
2023-03-13 22:08:24.774811 [INFO   ] [AUTO] Sending ask: 10 Price:114100 Volume:100
2023-03-13 22:08:24.774819 [INFO   ] [AUTO] BID 3: 113600
