2023-03-13 22:08:19.653484 [INFO   ] [APP] application started
2023-03-13 22:08:19.653771 [INFO   ] [APP] loading configuration from 'mm-one-order-unstable-position-limits-4.json'
2023-03-13 22:08:19.654110 [INFO   ] [CON] connecting to: 127.0.0.1:12345
2023-03-13 22:08:19.654243 [INFO   ] [CON] connected successfully to: 127.0.0.1:12345
2023-03-13 22:08:19.654254 [INFO   ] [BASE] logging in with teamname='mm-one-order-unstable-position-limits-4' and secret='secret'
2023-03-13 22:08:23.496110 [INFO   ] [AUTO] no current ask, create a new one
2023-03-13 22:08:23.496116 [INFO   ] [AUTO] ASK 1
2023-03-13 22:08:23.496117 [INFO   ] [AUTO] Max ask volume: 100
2023-03-13 22:08:23.496118 [INFO   ] [AUTO] Sending ask: 2 Price:113600 Volume:100
2023-03-13 22:08:23.496136 [INFO   ] [AUTO] BID 1: 0
2023-03-13 22:08:23.496137 [INFO   ] [AUTO] Sending bid: 3 Price:112300 Volume:100
2023-03-13 22:08:23.496569 [INFO   ] [AUTO] Something happened to order: 2
2023-03-13 22:08:23.496620 [INFO   ] [AUTO] Something happened to order: 3
2023-03-13 22:08:23.773081 [INFO   ] [AUTO] BID 3: 113300
2023-03-13 22:08:23.773092 [INFO   ] [AUTO] Sending bid: 4 Price:113200 Volume:100
2023-03-13 22:08:23.773957 [INFO   ] [AUTO] Something happened to order: 3
2023-03-13 22:08:23.773983 [INFO   ] [AUTO] Something happened to order: 4
2023-03-13 22:08:23.970227 [INFO   ] [AUTO] Cancelling order: 2
2023-03-13 22:08:23.970299 [INFO   ] [AUTO] no current ask, create a new one
2023-03-13 22:08:23.970301 [INFO   ] [AUTO] ASK 1
2023-03-13 22:08:23.970302 [INFO   ] [AUTO] Max ask volume: 100
2023-03-13 22:08:23.970303 [INFO   ] [AUTO] Sending ask: 5 Price:113900 Volume:100
2023-03-13 22:08:23.970312 [INFO   ] [AUTO] BID 3: 113300
2023-03-13 22:08:23.970313 [INFO   ] [AUTO] Sending bid: 6 Price:113400 Volume:100
2023-03-13 22:08:23.971824 [INFO   ] [AUTO] Something happened to order: 2
2023-03-13 22:08:23.971866 [INFO   ] [AUTO] Something happened to order: 5
2023-03-13 22:08:23.971887 [INFO   ] [AUTO] Something happened to order: 4
2023-03-13 22:08:23.971914 [INFO   ] [AUTO] Something happened to order: 6
2023-03-13 22:08:24.196341 [INFO   ] [AUTO] Cancelling order: 5
2023-03-13 22:08:24.196401 [INFO   ] [AUTO] no current ask, create a new one
