Time,Team,Operation,BuyVolume,SellVolume,EtfPosition,FuturePosition,EtfPrice,FuturePrice,TotalFees,AccountBalance,ProfitOrLoss,Status
4e-06,MelbourneMarkets_150344,Tick,0,0,0,0,,,0,0,0,OK
4e-06,easymoney_123,Tick,0,0,0,0,,,0,0,0,OK
4e-06,hansolo_2159,Tick,0,0,0,0,,,0,0,0,OK
4e-06,Sinclair_204539,Tick,0,0,0,0,,,0,0,0,OK
4e-06,Shedneryan_223251,Tick,0,0,0,0,,,0,0,0,OK
4e-06,JVsMedallionToTheMoonFund_16,Tick,0,0,0,0,,,0,0,0,OK
4e-06,LeoPowder_123456,Tick,0,0,0,0,,,0,0,0,OK
4e-06,Gamma_1919,Tick,0,0,0,0,,,0,0,0,OK
0.271445,MelbourneMarkets_150344,Tick,0,0,0,0,126400,,0,0,0,OK
0.271445,easymoney_123,Tick,0,0,0,0,126400,,0,0,0,OK
0.271445,hansolo_2159,Tick,0,0,0,0,126400,,0,0,0,OK
0.271445,Sinclair_204539,Tick,0,0,0,0,126400,,0,0,0,OK
0.271445,Shedneryan_223251,Tick,0,1,-1,0,126400,,-13,126413,126413,OK
0.271445,JVsMedallionToTheMoonFund_16,Tick,0,0,0,0,126400,,0,0,0,OK
0.271445,LeoPowder_123456,Tick,0,0,0,0,126400,,0,0,0,OK
0.271445,Gamma_1919,Tick,0,0,0,0,126400,,0,0,0,OK
0.461867,MelbourneMarkets_150344,Tick,0,0,0,0,126500,,0,0,0,OK
0.461867,easymoney_123,Tick,0,100,-100,100,126500,,-1265,1265,1265,OK
0.461867,hansolo_2159,Tick,0,0,0,0,126500,,0,0,0,OK
0.461867,Sinclair_204539,Tick,0,0,0,0,126500,,0,0,0,OK
0.461867,Shedneryan_223251,Tick,0,47,-47,0,126500,,-595,5945995,5945995,OK
0.461867,JVsMedallionToTheMoonFund_16,Tick,0,0,0,0,126500,,0,0,0,OK
0.461867,LeoPowder_123456,Tick,0,0,0,0,126500,,0,0,0,OK
0.461867,Gamma_1919,Tick,0,0,0,0,126500,,0,0,0,OK
0.71028,MelbourneMarkets_150344,Tick,0,0,0,0,126300,,0,0,0,OK
0.71028,easymoney_123,Tick,0,100,-100,100,126300,,-1265,1265,1265,OK
0.71028,hansolo_2159,Tick,0,0,0,0,126300,,0,0,0,OK
0.71028,Sinclair_204539,Tick,0,0,0,0,126300,,0,0,0,OK
0.71028,Shedneryan_223251,Tick,37,47,-10,0,126300,,-1062,1273362,1273362,OK
0.71028,JVsMedallionToTheMoonFund_16,Tick,0,0,0,0,126300,,0,0,0,OK
0.71028,LeoPowder_123456,Tick,0,0,0,0,126300,,0,0,0,OK
0.71028,Gamma_1919,Tick,0,0,0,0,126300,,0,0,0,OK
1.014208,MelbourneMarkets_150344,Tick,0,0,0,0,126300,,0,0,0,OK
1.014208,easymoney_123,Tick,0,100,-100,100,126300,,-1265,1265,1265,OK
1.014208,hansolo_2159,Tick,0,0,0,0,126300,,0,0,0,OK
1.014208,Sinclair_204539,Tick,0,0,0,0,126300,,0,0,0,OK
1.014208,Shedneryan_223251,Tick,37,47,-10,0,126300,,-1062,1273362,1273362,OK
1.014208,JVsMedallionToTheMoonFund_16,Tick,0,0,0,0,126300,,0,0,0,OK
1.014208,LeoPowder_123456,Tick,0,0,0,0,126300,,0,0,0,OK
1.014208,Gamma_1919,Tick,0,0,0,0,126300,,0,0,0,OK
1.263859,MelbourneMarkets_150344,Tick,0,0,0,0,126300,126700,0,0,0,OK
1.263859,easymoney_123,Tick,0,100,-100,100,126300,126700,-1265,1265,26565,OK
1.263859,hansolo_2159,Tick,0,0,0,0,126300,126700,0,0,0,OK
1.263859,Sinclair_204539,Tick,0,0,0,0,126300,126700,0,0,0,OK
1.263859,Shedneryan_223251,Tick,37,47,-10,0,126300,126700,-1062,1273362,8892,OK
1.263859,JVsMedallionToTheMoonFund_16,Tick,0,0,0,0,126300,126700,0,0,0,OK
1.263859,LeoPowder_123456,Tick,0,0,0,0,126300,126700,0,0,0,OK
1.263859,Gamma_1919,Tick,0,0,0,0,126300,126700,0,0,0,OK
1.528446,MelbourneMarkets_150344,Tick,0,0,0,0,126300,126800,0,0,0,OK
1.528446,easymoney_123,Tick,0,100,-100,100,126300,126800,-1265,1265,26665,OK
1.528446,hansolo_2159,Tick,0,0,0,0,126300,126800,0,0,0,OK
1.528446,Sinclair_204539,Tick,0,0,0,0,126300,126800,0,0,0,OK
1.528446,Shedneryan_223251,Tick,37,47,-10,0,126300,126800,-1062,1273362,7902,OK
1.528446,JVsMedallionToTheMoonFund_16,Tick,0,0,0,0,126300,126800,0,0,0,OK
1.528446,LeoPowder_123456,Tick,0,0,0,0,126300,126800,0,0,0,OK
1.528446,Gamma_1919,Tick,0,0,0,0,126300,126800,0,0,0,OK
1.782797,MelbourneMarkets_150344,Tick,0,0,0,0,127100,126800,0,0,0,OK
1.782797,easymoney_123,Tick,0,100,-100,100,127100,126800,-1265,1265,-24135,OK
1.782797,hansolo_2159,Tick,0,0,0,0,127100,126800,0,0,0,OK
1.782797,Sinclair_204539,Tick,0,10,-10,10,127100,126800,-127,-1873,-4413,OK
1.782797,Shedneryan_223251,Tick,92,47,45,0,127100,126800,336,-5714536,2894,OK
1.782797,JVsMedallionToTheMoonFund_16,Tick,0,35,-35,0,127100,126800,-445,4448945,2055,OK
1.782797,LeoPowder_123456,Tick,0,10,-10,0,127100,126800,-127,1268127,-2413,OK
1.782797,Gamma_1919,Tick,0,0,0,0,127100,126800,0,0,0,OK
2.038058,MelbourneMarkets_150344,Tick,0,0,0,0,127100,126800,0,0,0,OK
2.038058,easymoney_123,Tick,0,100,-100,100,127100,126800,-1265,1265,-24135,OK
2.038058,hansolo_2159,Tick,0,0,0,0,127100,126800,0,0,0,OK
2.038058,Sinclair_204539,Tick,0,10,-10,10,127100,126800,-127,-1873,-4413,OK
2.038058,Shedneryan_223251,Tick,92,47,45,0,127100,126800,336,-5714536,2894,OK
2.038058,JVsMedallionToTheMoonFund_16,Tick,0,35,-35,35,127100,126800,-445,-3055,-11945,OK
2.038058,LeoPowder_123456,Tick,0,10,-10,0,127100,126800,-127,1268127,-2413,OK
2.038058,Gamma_1919,Tick,0,0,0,0,127100,126800,0,0,0,OK
2.248598,MelbourneMarkets_150344,Tick,0,0,0,0,127100,126800,0,0,0,OK
2.248598,easymoney_123,Tick,0,100,-100,100,127100,126800,-1265,1265,-24135,OK
2.248598,hansolo_2159,Tick,0,0,0,0,127100,126800,0,0,0,OK
2.248598,Sinclair_204539,Tick,0,10,-10,10,127100,126800,-127,-1873,-4413,OK
2.248598,Shedneryan_223251,Tick,92,47,45,0,127100,126800,336,-5714536,2894,OK
2.248598,JVsMedallionToTheMoonFund_16,Tick,0,35,-35,35,127100,126800,-445,-3055,-11945,OK
2.248598,LeoPowder_123456,Tick,0,10,-10,0,127100,126800,-127,1268127,-2413,OK
2.248598,Gamma_1919,Tick,0,0,0,0,127100,126800,0,0,0,OK
2.507797,MelbourneMarkets_150344,Tick,0,0,0,0,127100,126800,0,0,0,OK
2.507797,easymoney_123,Tick,0,100,-100,100,127100,126800,-1265,1265,-24135,OK
2.507797,hansolo_2159,Tick,0,0,0,0,127100,126800,0,0,0,OK
2.507797,Sinclair_204539,Tick,0,10,-10,10,127100,126800,-127,-1873,-4413,OK
2.507797,Shedneryan_223251,Tick,92,47,45,0,127100,126800,336,-5714536,2894,OK
2.507797,JVsMedallionToTheMoonFund_16,Tick,0,35,-35,35,127100,126800,-445,-3055,-11945,OK
2.507797,LeoPowder_123456,Tick,0,10,-10,0,127100,126800,-127,1268127,-2413,OK
2.507797,Gamma_1919,Tick,0,0,0,0,127100,126800,0,0,0,OK
2.711212,MelbourneMarkets_150344,Tick,0,0,0,0,127400,126800,0,0,0,OK
2.711212,easymoney_123,Tick,0,100,-100,100,127400,126800,-1265,1265,-24135,OK
2.711212,hansolo_2159,Tick,0,0,0,0,127400,126800,0,0,0,OK
2.711212,Sinclair_204539,Tick,0,10,-10,10,127400,126800,-127,-1873,-4413,OK
2.711212,Shedneryan_223251,Tick,92,92,0,0,127400,126800,-237,19037,19037,OK
2.711212,JVsMedallionToTheMoonFund_16,Tick,0,35,-35,35,127400,126800,-445,-3055,-11945,OK
2.711212,LeoPowder_123456,Tick,0,10,-10,0,127400,126800,-127,1268127,-2413,OK
2.711212,Gamma_1919,Tick,0,0,0,0,127400,126800,0,0,0,OK
3.022378,MelbourneMarkets_150344,Tick,0,0,0,0,127400,127300,0,0,0,OK
3.022378,easymoney_123,Tick,0,100,-100,100,127400,127300,-1265,1265,-8735,OK
3.022378,hansolo_2159,Tick,0,0,0,0,127400,127300,0,0,0,OK
3.022378,Sinclair_204539,Tick,0,10,-10,10,127400,127300,-127,-1873,-2873,OK
3.022378,Shedneryan_223251,Tick,92,92,0,0,127400,127300,-237,19037,19037,OK
3.022378,JVsMedallionToTheMoonFund_16,Tick,0,35,-35,35,127400,127300,-445,-3055,-6555,OK
3.022378,LeoPowder_123456,Tick,0,10,-10,0,127400,127300,-127,1268127,-5873,OK
3.022378,Gamma_1919,Tick,0,0,0,0,127400,127300,0,0,0,OK
3.208928,MelbourneMarkets_150344,Tick,0,0,0,0,127400,127200,0,0,0,OK
3.208928,easymoney_123,Tick,0,100,-100,100,127400,127200,-1265,1265,-18735,OK
3.208928,hansolo_2159,Tick,0,0,0,0,127400,127200,0,0,0,OK
3.208928,Sinclair_204539,Tick,0,10,-10,10,127400,127200,-127,-1873,-3873,OK
