Time,Team,Operation,BuyVolume,SellVolume,EtfPosition,FuturePosition,EtfPrice,FuturePrice,TotalFees,AccountBalance,ProfitOrLoss,Status
4e-06,RuksakRandom_666013,Tick,0,0,0,0,,,0,0,0,OK
4e-06,HighEntropy_149572,Tick,0,0,0,0,,,0,0,0,OK
4e-06,Finitist_4274,Tick,0,0,0,0,,,0,0,0,OK
4e-06,Algorizz_12321,Tick,0,0,0,0,,,0,0,0,OK
4e-06,GentleMen_951623,Tick,0,0,0,0,,,0,0,0,OK
4e-06,OptiverFanboys_117,Tick,0,0,0,0,,,0,0,0,OK
4e-06,Shedneryan_223251,Tick,0,0,0,0,,,0,0,0,OK
4e-06,Noedgeonlyvol_2557,Tick,0,0,0,0,,,0,0,0,OK
0.274504,RuksakRandom_666013,Tick,0,0,0,0,126400,,0,0,0,OK
0.274504,HighEntropy_149572,Tick,0,0,0,0,126400,,0,0,0,OK
0.274504,Finitist_4274,Tick,0,0,0,0,126400,,0,0,0,OK
0.274504,Algorizz_12321,Tick,0,0,0,0,126400,,0,0,0,OK
0.274504,GentleMen_951623,Tick,0,0,0,0,126400,,0,0,0,OK
0.274504,OptiverFanboys_117,Tick,0,0,0,0,126400,,0,0,0,OK
0.274504,Shedneryan_223251,Tick,0,1,-1,0,126400,,-13,126413,126413,OK
0.274504,Noedgeonlyvol_2557,Tick,0,0,0,0,126400,,0,0,0,OK
0.467514,RuksakRandom_666013,Tick,0,25,-25,0,126600,,-316,3162816,3162816,OK
0.467514,HighEntropy_149572,Tick,0,62,-62,0,126600,,-785,7849985,7849985,OK
0.467514,Finitist_4274,Tick,0,0,0,0,126600,,0,0,0,OK
0.467514,Algorizz_12321,Tick,0,0,0,0,126600,,0,0,0,OK
0.467514,GentleMen_951623,Tick,0,0,0,0,126600,,0,0,0,OK
0.467514,OptiverFanboys_117,Tick,0,0,0,0,126600,,0,0,0,OK
0.467514,Shedneryan_223251,Tick,0,50,-50,0,126600,,-633,6325533,6325533,OK
0.467514,Noedgeonlyvol_2557,Tick,0,10,-10,0,126600,,-126,1265126,1265126,OK
0.702787,RuksakRandom_666013,Tick,0,25,-25,0,126500,,-316,3162816,3162816,OK
0.702787,HighEntropy_149572,Tick,0,62,-62,0,126500,,-785,7849985,7849985,OK
0.702787,Finitist_4274,Tick,0,0,0,0,126500,,0,0,0,OK
0.702787,Algorizz_12321,Tick,0,0,0,0,126500,,0,0,0,OK
0.702787,GentleMen_951623,Tick,0,0,0,0,126500,,0,0,0,OK
0.702787,OptiverFanboys_117,Tick,0,0,0,0,126500,,0,0,0,OK
0.702787,Shedneryan_223251,Tick,37,60,-23,0,126500,,-1226,2918026,2918026,OK
0.702787,Noedgeonlyvol_2557,Tick,10,10,0,1,126500,,127,-126827,-126827,OK
1.008844,RuksakRandom_666013,Tick,0,25,-25,0,126500,,-316,3162816,3162816,OK
1.008844,HighEntropy_149572,Tick,0,62,-62,0,126500,,-785,7849985,7849985,OK
1.008844,Finitist_4274,Tick,0,0,0,0,126500,,0,0,0,OK
1.008844,Algorizz_12321,Tick,0,0,0,0,126500,,0,0,0,OK
1.008844,GentleMen_951623,Tick,0,0,0,0,126500,,0,0,0,OK
1.008844,OptiverFanboys_117,Tick,0,0,0,0,126500,,0,0,0,OK
1.008844,Shedneryan_223251,Tick,37,60,-23,0,126500,,-1226,2918026,2918026,OK
1.008844,Noedgeonlyvol_2557,Tick,10,10,0,0,126500,,127,-327,-327,OK
1.249316,RuksakRandom_666013,Tick,0,25,-25,0,126500,126700,-316,3162816,316,OK
1.249316,HighEntropy_149572,Tick,0,62,-62,0,126500,126700,-785,7849985,6985,OK
1.249316,Finitist_4274,Tick,0,0,0,0,126500,126700,0,0,0,OK
1.249316,Algorizz_12321,Tick,0,0,0,0,126500,126700,0,0,0,OK
1.249316,GentleMen_951623,Tick,0,0,0,0,126500,126700,0,0,0,OK
1.249316,OptiverFanboys_117,Tick,0,0,0,0,126500,126700,0,0,0,OK
1.249316,Shedneryan_223251,Tick,37,60,-23,0,126500,126700,-1226,2918026,8526,OK
1.249316,Noedgeonlyvol_2557,Tick,10,10,0,0,126500,126700,127,-327,-327,OK
1.486186,RuksakRandom_666013,Tick,0,25,-25,0,126600,126800,-316,3162816,-2184,OK
1.486186,HighEntropy_149572,Tick,0,62,-62,0,126600,126800,-785,7849985,785,OK
1.486186,Finitist_4274,Tick,0,0,0,0,126600,126800,0,0,0,OK
1.486186,Algorizz_12321,Tick,0,0,0,0,126600,126800,0,0,0,OK
1.486186,GentleMen_951623,Tick,0,0,0,0,126600,126800,0,0,0,OK
1.486186,OptiverFanboys_117,Tick,0,0,0,0,126600,126800,0,0,0,OK
1.486186,Shedneryan_223251,Tick,46,60,-14,0,126600,126800,-998,1778398,5998,OK
1.486186,Noedgeonlyvol_2557,Tick,10,19,-9,1,126600,126800,13,1012387,-213,OK
1.783434,RuksakRandom_666013,Tick,0,50,-50,0,127000,126800,-633,6335633,-14367,OK
1.783434,HighEntropy_149572,Tick,0,62,-62,0,127000,126800,-785,7849985,-24015,OK
